id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,result
06J3cEa5,20.03.2022 16:15,Spal,Cremonese,0,2,54%,46%,13,9,2,3,9,5,2,1,3,2,5,1,1,2,16,17,0,0,1,1,432,376,323,270,18,7,118,93,57,31,,,,,A
t2nwsgFO,20.03.2022 14:00,L.R. Vicenza,Ascoli,2,0,46%,54%,14,12,6,3,5,6,3,3,8,5,0,2,3,4,13,12,0,0,1,2,334,398,228,297,16,13,96,93,49,47,,,,,H
EkHi0GFn,20.03.2022 14:00,Perugia,Como,0,1,62%,38%,18,3,5,3,6,0,7,0,9,1,1,3,2,5,22,11,0,0,4,3,447,284,342,173,23,17,146,69,71,21,,,,,A
htGeazVh,20.03.2022 14:00,Pisa,Cittadella,1,0,46%,54%,10,7,3,2,6,2,1,3,3,2,2,1,2,2,19,19,0,1,5,4,328,390,205,276,19,25,106,115,49,58,,,,,H
URrZsZaI,19.03.2022 16:15,Frosinone,Benevento,2,0,39%,61%,15,8,6,2,4,4,5,2,9,3,2,3,2,4,21,9,0,0,2,2,314,494,219,386,17,17,102,107,51,33,,,,,H
f5zL5xhP,19.03.2022 14:00,Monza,Crotone,1,0,60%,40%,13,12,3,3,9,6,1,3,2,2,1,2,3,2,11,28,0,0,2,7,463,309,348,208,11,9,130,89,35,41,,,,,H
dEMn1d0t,19.03.2022 14:00,Parma,Lecce,0,0,54%,46%,11,12,3,4,5,4,3,4,5,5,3,2,4,3,13,28,0,0,4,2,475,397,384,318,19,19,105,91,56,44,,,,,D
pfNbkmQs,19.03.2022 14:00,Reggio Calabria,Cosenza,1,0,45%,55%,6,9,1,3,3,4,2,2,4,5,6,0,3,0,25,20,0,0,6,6,298,362,215,275,18,19,85,110,34,35,,,,,H
rV88dYEB,19.03.2022 14:00,Ternana,Alessandria,3,0,47%,53%,11,10,6,2,3,1,2,7,4,4,1,3,2,3,17,11,0,0,1,2,361,404,249,293,18,12,111,125,36,40,,,,,H
8lCwga8J,16.03.2022 18:30,Ascoli,Pisa,2,0,51%,49%,14,10,5,3,6,5,3,2,6,3,4,2,3,3,17,13,0,0,1,2,331,322,224,212,14,27,123,92,61,54,,,,,H
0niIoH0g,16.03.2022 18:30,Cremonese,Pordenone,2,1,49%,51%,13,10,4,1,7,6,2,3,6,4,1,5,0,2,12,17,1,0,3,1,394,406,306,325,16,8,97,85,54,46,,,,,H
n3gUrFpC,16.03.2022 18:30,Perugia,Spal,1,1,57%,43%,13,10,4,3,9,6,0,1,7,0,4,2,2,3,16,19,0,1,2,5,393,312,289,207,19,14,91,98,68,42,,,,,D
Moi3UFVI,15.03.2022 20:30,Alessandria,Monza,0,3,55%,45%,6,11,0,3,4,7,2,1,4,3,3,0,1,0,16,18,0,0,3,2,432,362,308,235,14,15,107,126,41,41,,,,,A
nuBshJNP,15.03.2022 18:30,Brescia,Benevento,2,2,60%,40%,16,11,5,5,8,4,3,2,9,5,1,1,3,3,17,15,0,1,2,2,449,309,350,218,7,6,115,98,76,26,,,,,D
4Kc9mwWt,15.03.2022 18:30,Cittadella,Reggio Calabria,0,0,59%,41%,21,10,7,4,5,2,9,4,6,2,0,4,4,7,21,19,0,0,3,1,442,309,343,200,8,18,123,102,73,33,,,,,D
IN1Dncom,15.03.2022 18:30,Como,Ternana,1,1,46%,54%,12,16,3,3,5,10,4,3,4,7,0,1,2,2,17,15,0,0,3,5,327,370,216,248,18,12,93,148,30,79,,,,,D
8UaV6FeF,15.03.2022 18:30,Cosenza,Lecce,2,2,34%,66%,8,12,3,5,4,5,1,2,2,2,1,3,3,1,12,6,0,0,8,1,306,565,185,447,10,9,73,163,18,62,,,,,D
vwjMpyGa,15.03.2022 18:30,Crotone,Frosinone,2,0,40%,60%,12,10,6,4,3,3,3,3,3,6,1,1,4,4,17,14,0,0,5,2,310,448,205,327,18,24,103,118,32,53,,,,,H
8CfQqeV5,15.03.2022 18:30,L.R. Vicenza,Parma,0,1,49%,51%,18,7,5,3,6,2,7,2,9,4,5,1,2,5,16,19,0,0,5,6,337,368,243,286,20,13,109,85,51,41,,,,,A
h6anYcWg,13.03.2022 15:30,Pisa,Cremonese,3,0,48%,52%,16,13,7,3,9,8,0,2,4,10,7,0,3,4,11,16,0,0,4,3,293,309,191,208,21,18,90,93,47,55,,,,,H
lYG3tMOD,12.03.2022 16:15,Benevento,Crotone,3,1,49%,51%,13,6,4,3,9,2,0,1,4,1,1,1,2,1,13,20,0,0,3,4,428,459,331,351,17,12,109,112,53,54,,,,,H
08K7utvK,12.03.2022 16:15,Frosinone,Alessandria,3,0,51%,49%,19,13,8,2,5,6,6,5,9,2,0,1,2,5,25,6,0,1,6,2,392,380,293,274,11,16,116,73,56,32,,,,,H
ptdvzK1s,12.03.2022 16:15,Monza,L.R. Vicenza,4,0,65%,35%,24,3,7,2,12,1,5,0,5,4,3,3,2,3,7,10,0,1,2,2,530,284,460,197,11,17,164,55,82,18,,,,,H
zVliXHo0,12.03.2022 16:15,Pordenone,Como,1,1,51%,49%,16,19,6,5,7,9,3,5,6,3,0,1,4,5,18,16,0,1,5,3,408,391,307,286,19,18,110,98,66,54,,,,,D
