id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,Goal Kicks_home,Goal Kicks_away,result
8j9N1kqD,19.02.2017 13:30,Adanaspor AS,Ankaraspor,1,5,46%,54%,5,13,2,10,3,3,16,22,5,2,1,1,18,16,5,1,21,15,4,3,0,0,,,A
0O0yhZWo,19.02.2017 13:00,Fenerbahce,Kasimpasa,0,0,58%,42%,10,5,1,1,9,4,19,16,7,1,1,1,19,17,1,1,15,18,2,1,0,0,,,D
fo0uignh,19.02.2017 11:00,Genclerbirligi,Konyaspor,2,0,50%,50%,5,5,2,2,3,3,17,20,3,3,2,2,39,26,2,0,17,15,3,5,0,0,,,H
U3hhliWA,18.02.2017 17:00,Rizespor,Galatasaray,1,1,43%,57%,8,9,6,2,2,7,13,21,0,4,3,2,20,25,1,5,18,11,0,1,0,0,,,D
YyaqjD1b,18.02.2017 14:00,Basaksehir,Gaziantepspor,0,0,60%,40%,13,9,3,3,10,6,21,12,8,5,0,1,30,19,3,3,12,20,1,3,0,0,,,D
ns8R09bJ,18.02.2017 11:30,Antalyaspor,Kardemir Karabuk,1,0,44%,56%,6,10,3,3,3,7,21,25,4,5,4,0,14,19,3,2,21,21,2,2,0,0,,,H
jDglkXG4,17.02.2017 17:00,Kayserispor,Bursaspor,2,0,58%,42%,20,5,6,1,14,4,15,18,8,4,3,2,15,25,1,4,15,13,3,1,0,1,,,H
AyD26DUs,13.02.2017 18:00,Gaziantepspor,Adanaspor AS,1,0,51%,49%,2,7,1,3,1,4,18,19,2,2,2,0,38,24,3,0,17,18,5,2,0,0,,,H
8SQzBgMQ,12.02.2017 17:00,Galatasaray,Kayserispor,1,2,55%,45%,6,10,2,5,4,5,24,9,6,6,0,6,25,21,3,1,9,18,0,3,0,0,,,A
0Q5F3BE0,12.02.2017 14:00,Konyaspor,Antalyaspor,1,1,55%,45%,9,3,4,1,5,2,18,13,7,4,1,2,22,15,0,3,12,16,5,8,0,2,,,D
zNMilWED,12.02.2017 11:30,Akhisarspor,Rizespor,1,0,45%,55%,8,11,4,7,4,4,21,13,3,5,3,2,20,28,7,3,10,19,2,2,0,0,,,H
I1GA4iaf,12.02.2017 11:30,Kasimpasa,Basaksehir,4,0,30%,70%,9,10,4,5,5,5,14,16,2,9,4,1,19,20,5,0,12,13,1,2,0,0,,,H
SG9wCZ6K,11.02.2017 17:00,Bursaspor,Fenerbahce,1,1,38%,62%,2,10,1,6,1,4,13,15,3,5,1,1,15,20,5,0,14,12,6,2,1,0,,,D
