id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Expected Goals (xG)_home,Expected Goals (xG)_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,result
0KlCDJcR,18.04.2023 19:30,Karagumruk,Umraniyespor,4,2,51%,49%,16,19,8,4,5,8,3,7,12,12,5,8,0,4,25,26,2,4,15,11,106,112,62,76,0,0,5,2,2.92,2.11,432,395,336,308,7,12,H
AZB0eKyq,16.04.2023 19:30,Trabzonspor,Besiktas,0,0,46%,54%,12,12,4,5,6,4,2,3,18,13,6,8,2,0,18,20,5,4,11,18,115,103,49,61,0,0,4,2,0.68,0.74,406,480,325,397,17,17,D
Q1daGLD8,16.04.2023 19:00,Gaziantep,Konyaspor,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,A
8QPYa0TR,16.04.2023 19:00,Hatayspor,Karagumruk,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,A
v9G4fvik,16.04.2023 15:00,Giresunspor,Sivasspor,1,0,32%,68%,9,11,3,4,4,6,2,1,15,14,2,6,1,2,22,32,4,2,13,13,88,145,40,72,0,0,3,3,0.85,0.74,255,527,168,437,20,20,H
IaF8gb6e,15.04.2023 19:30,Fenerbahce,Ankaragucu,2,1,69%,31%,19,10,9,4,8,3,2,3,26,17,8,7,3,2,23,29,3,7,14,26,143,99,84,44,0,0,2,7,2.28,2.27,579,247,480,158,15,24,H
Cb8Hixy8,15.04.2023 15:00,Adana Demirspor,Kasimpasa,5,0,59%,41%,22,6,12,2,9,4,1,0,18,8,7,0,0,2,22,15,2,7,7,17,140,130,87,49,0,0,2,3,4.03,0.25,520,377,462,312,22,16,H
0O4DhIL1,15.04.2023 15:00,Istanbulspor AS,Basaksehir,1,0,40%,60%,9,13,4,5,3,3,2,5,17,19,4,6,3,1,15,21,5,3,16,15,147,210,71,171,0,0,2,6,1.25,2.04,358,520,280,431,16,18,H
Q1zU0tEL,14.04.2023 19:30,Antalyaspor,Alanyaspor,3,1,40%,60%,15,9,8,3,5,4,2,2,13,15,4,1,3,0,25,19,2,5,12,13,90,96,28,26,0,1,2,2,2.13,0.73,357,551,274,468,17,12,H
4he3FuTE,14.04.2023 19:30,Galatasaray,Kayserispor,6,0,66%,34%,29,8,17,1,7,2,5,5,13,15,2,7,1,1,18,13,1,11,11,15,142,66,64,23,0,1,2,0,3.82,0.57,595,297,535,219,15,9,H
