id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,result
S4y1DbjF,25.01.2024 18:00,Rizespor,Trabzonspor,1,0,1.23,0.53,49%,51%,15,10,5,3,6,6,4,1,11,22,3,3,2,0,22,15,3,4,21,12,3,1,82,114,36,40,0,0,H
WIibgwaq,25.01.2024 15:00,Samsunspor,Kayserispor,2,0,0.77,0.63,35%,65%,11,8,5,2,4,3,2,3,16,4,3,5,1,4,23,41,2,3,3,12,,,109,97,58,45,0,0,H
lKP9BxLR,24.01.2024 18:00,Antalyaspor,Sivasspor,2,1,2.51,1.39,64%,36%,24,8,12,4,8,2,4,2,16,12,8,6,2,2,19,29,3,10,10,15,2,1,131,83,48,40,0,0,H
6ez5CI5L,24.01.2024 18:00,Basaksehir,Fenerbahce,0,1,0.28,2.88,40%,60%,4,30,1,7,3,14,0,9,14,19,1,7,4,0,13,23,6,1,16,14,9,4,54,166,17,103,2,0,A
bVWdEvy9,24.01.2024 15:00,Ankaragucu,Karagumruk,2,0,2.03,0.42,40%,60%,8,11,5,4,2,5,1,2,9,14,2,9,0,0,22,16,4,3,14,9,1,3,76,115,31,58,0,0,H
OCGy7dTr,24.01.2024 15:00,Gaziantep,Konyaspor,1,1,0.69,0.65,51%,49%,8,7,1,4,6,2,1,1,15,21,3,5,1,3,24,24,3,1,19,13,2,2,127,97,27,30,0,0,D
KvYhFKL2,23.01.2024 18:00,Besiktas,Adana Demirspor,0,0,1.18,0.24,49%,51%,19,6,6,0,8,3,5,3,10,16,8,2,1,0,32,20,0,6,15,10,4,4,117,97,67,25,0,1,D
4Wk6iHTe,23.01.2024 18:00,Pendikspor,Kasimpasa,3,2,1.63,0.52,58%,42%,11,8,5,3,3,3,3,2,12,17,6,2,6,2,27,20,1,2,12,10,2,2,112,75,40,36,0,0,H
IZgAjyq2,23.01.2024 15:00,Hatayspor,Alanyaspor,1,1,0.09,2.58,36%,64%,4,18,1,3,2,11,1,4,5,18,3,5,2,1,15,25,2,0,17,4,4,2,72,127,20,80,0,0,D
AmFRuKUq,22.01.2024 18:00,Kayserispor,Istanbulspor AS,0,1,0.52,2.28,64%,36%,10,16,4,8,2,4,4,4,14,16,5,7,1,3,23,17,7,4,15,11,2,3,133,96,48,35,0,0,A
hC4Wvvpj,21.01.2024 17:00,Trabzonspor,Galatasaray,1,5,1.38,1.29,47%,53%,16,16,1,10,7,4,8,2,22,15,11,6,1,5,32,21,5,0,14,17,1,4,117,75,69,40,0,0,A
