id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Goal Kicks_home,Goal Kicks_away,result
lp5IGrnI,21.02.2015 18:00,Sivasspor,Galatasaray,2,3,,,,,,,,,,,,,,,,,,,,,0,0,,,,,A
Ag6EHOWB,21.02.2015 15:00,Bursaspor,Rizespor,1,1,54%,46%,16,13,6,5,10,8,19,21,11,4,0,4,23,19,4,5,20,16,1,0,2,1,,,D
tK1AI4H5,21.02.2015 12:30,Basaksehir,Gaziantepspor,1,0,47%,53%,15,4,6,0,9,4,16,27,6,0,2,1,31,31,0,5,23,14,0,0,3,2,,,H
2T26Jp2a,20.02.2015 19:00,Kayseri Erciyesspor,Konyaspor,3,0,53%,47%,14,8,7,2,7,6,11,16,7,9,3,3,15,16,2,4,11,14,0,0,2,3,,,H
2Tty452C,16.02.2015 19:00,Galatasaray,Balikesirspor,3,1,63%,37%,23,16,10,3,13,13,12,12,11,9,0,3,14,18,2,7,13,9,0,1,2,3,,,H
K4D1KQng,16.02.2015 18:00,Genclerbirligi,Eskisehirspor,1,2,46%,54%,14,13,6,5,8,8,19,20,5,5,0,1,41,21,3,5,19,15,2,0,2,1,,,A
djtu3PHI,15.02.2015 18:00,Trabzonspor,Basaksehir,3,2,55%,45%,21,11,6,6,15,5,11,17,7,3,0,0,20,26,4,3,17,10,0,0,4,1,,,H
E7AgMnIt,15.02.2015 15:00,Besiktas,Bursaspor,3,2,52%,48%,10,10,8,4,2,6,23,24,8,4,8,5,20,19,2,5,16,16,0,1,4,3,,,H
CbORQS9P,15.02.2015 12:00,Konyaspor,Sivasspor,0,1,56%,44%,13,10,4,2,9,8,22,11,9,6,0,2,22,24,1,4,12,17,0,0,1,2,,,A
61mS5RXa,15.02.2015 12:00,Rizespor,Mersin,0,4,56%,44%,17,13,8,6,9,7,25,10,8,1,0,2,29,19,2,8,10,20,0,0,1,4,,,A
lQxX4om6,14.02.2015 18:00,Gaziantepspor,Fenerbahce,0,5,46%,54%,13,13,4,8,9,5,18,13,5,2,2,0,16,22,3,4,12,18,0,0,1,1,,,A
