id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Goal Kicks_home,Goal Kicks_away,result
0IZZ7R2d,18.02.2018 14:00,Trabzonspor,Basaksehir,0,1,42%,58%,13,12,5,8,8,4,18,11,3,7,2,1,26,18,7,5,9,17,1,2,88,94,50,60,0,0,,,A
rDcqIBQ3,18.02.2018 11:30,Bursaspor,Yeni Malatyaspor,0,0,52%,48%,7,3,4,3,3,0,17,20,9,2,3,2,34,15,3,4,17,15,3,2,130,74,72,27,0,0,,,D
8KfeF9AM,18.02.2018 11:30,Kardemir Karabuk,Akhisarspor,0,3,46%,54%,10,6,3,5,7,1,15,20,2,1,2,3,13,22,2,3,18,12,4,2,81,89,47,52,0,0,,,A
M3dmHVuA,17.02.2018 17:00,Fenerbahce,Alanyaspor,3,0,63%,37%,9,4,3,4,6,0,16,21,4,1,3,4,24,16,4,0,18,12,1,0,167,102,76,69,0,0,,,H
MRzW87mj,17.02.2018 14:00,Sivasspor,Ankaraspor,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,H
0l8vJiBc,17.02.2018 11:30,Antalyaspor,Kayserispor,2,1,45%,55%,14,4,9,2,5,2,14,14,5,5,2,2,24,31,1,7,12,12,3,1,106,120,63,46,0,0,,,H
S4yS9mYq,16.02.2018 18:00,Konyaspor,Besiktas,1,1,48%,52%,7,13,4,8,3,5,16,21,3,8,2,0,23,24,7,3,19,16,3,6,109,121,51,76,0,0,,,D
tpyE2WQG,12.02.2018 18:00,Galatasaray,Antalyaspor,3,0,55%,45%,9,8,5,2,4,6,21,22,8,3,2,6,23,29,2,2,20,15,2,3,119,126,55,64,1,0,,,H
fiHldU3p,11.02.2018 17:00,Basaksehir,Fenerbahce,0,2,63%,37%,4,12,2,4,2,8,15,15,5,3,6,1,26,21,2,2,9,14,2,0,121,101,72,46,0,0,,,A
nor54hd4,11.02.2018 14:00,Alanyaspor,Konyaspor,1,2,68%,32%,23,4,11,4,12,0,14,14,18,1,2,4,25,17,2,10,12,10,4,5,122,94,110,29,0,1,,,A
