id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,result
UFfAlpY0,23.07.2022 21:00,National Bank Egypt,Future FC,1,4,34%,66%,11,14,5,10,6,1,0,3,15,16,4,3,3,1,15,14,6,4,10,10,0,4,198,394,146,346,12,11,80,98,41,59,1,0,A
jPe6kQIf,23.07.2022 18:30,El Gaish,Misr Lel Makkasa,0,0,61%,39%,20,6,6,1,9,5,5,0,12,8,8,1,0,1,23,19,1,6,8,15,1,2,452,305,369,211,17,21,137,92,78,38,0,0,D
d2d2j63l,22.07.2022 21:00,Enppi,Pharco,0,1,56%,44%,11,8,0,6,6,1,5,1,7,15,9,4,4,1,14,16,5,0,12,10,3,6,358,289,291,219,6,16,88,73,64,36,0,1,A
pShbinlr,22.07.2022 18:30,Arab Contractors,Ghazl El Mahallah,1,0,56%,44%,12,10,1,2,7,4,4,4,15,16,6,4,2,0,26,23,2,0,16,16,2,5,399,314,305,209,17,19,116,107,57,50,0,1,H
4UvU8EJF,22.07.2022 18:30,Ceramica Cleopatra,Al Masry,1,4,58%,42%,8,9,3,6,2,1,3,2,22,14,8,5,0,4,25,15,2,2,14,22,5,3,394,292,303,207,12,20,119,109,55,39,0,0,A
QwtQ9f49,21.07.2022 18:30,Eastern Company,Al Ittihad,2,2,48%,52%,16,12,7,6,8,4,1,2,15,6,10,4,1,5,13,19,4,5,7,13,3,2,325,370,237,285,13,11,95,90,63,52,0,0,D
d4yMAzk3,18.07.2022 21:00,Al Ittihad,Al Masry,0,0,38%,62%,9,12,1,3,7,8,1,1,8,15,3,5,1,0,16,26,3,1,16,10,2,0,262,418,161,317,22,16,70,98,31,67,0,0,D
G8bZnXdd,18.07.2022 21:00,Misr Lel Makkasa,Enppi,0,2,41%,59%,6,21,1,4,2,9,3,8,11,14,1,7,3,1,17,11,2,1,14,10,2,4,293,422,225,357,12,10,86,99,34,57,1,1,A
IDxIBGZd,18.07.2022 18:30,Pharco,Eastern Company,1,1,65%,35%,18,8,4,2,7,5,7,1,15,6,2,1,0,1,25,18,1,3,8,15,3,2,446,234,357,155,15,13,115,82,69,35,0,0,D
25fVmDsj,17.07.2022 21:00,Arab Contractors,Ceramica Cleopatra,0,1,49%,51%,15,11,3,4,8,5,4,2,8,16,7,3,5,1,26,17,3,3,15,12,2,1,330,362,214,247,18,16,120,112,78,70,0,0,A
