id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Tackles_home,Tackles_away,Blocked Shots_home,Blocked Shots_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,result
lfYxPyhF,13.04.2023 21:15,Arab Contractors,Al Masry,0,0,44%,56%,11,8,3,1,6,3,15,21,5,4,6,0,21,26,1,3,21,16,1,2,113,148,73,90,0,0,14,15,2,4,304,393,203,294,D
WIwYPHx9,13.04.2023 21:15,El Ismaily,Enppi,3,1,53%,47%,6,9,4,4,2,5,10,13,3,6,0,0,20,22,3,1,16,9,0,1,115,95,53,53,0,0,,,,,,,,,H
hSvUQcN2,13.04.2023 21:15,Haras El Hodood,Zamalek,0,3,53%,47%,14,12,3,5,4,4,10,14,7,0,2,1,21,17,2,3,15,12,2,0,116,112,66,46,0,0,8,12,7,3,461,416,378,318,A
46bZ4G0q,12.04.2023 21:15,El Daklyeh,Ceramica Cleopatra,0,0,40%,60%,10,16,1,5,5,7,16,16,5,4,4,1,21,26,5,1,15,15,2,3,99,128,50,70,0,0,24,18,4,4,300,457,188,357,D
vPjn2Ep2,12.04.2023 21:15,Ghazl El Mahallah,Future FC,0,1,35%,65%,9,9,0,3,5,1,17,19,5,7,6,5,15,17,2,0,15,13,0,3,94,137,47,66,0,0,13,7,4,5,291,576,196,470,A
KGy2NOGA,10.04.2023 21:15,Pharco,Al Ittihad,3,2,35%,65%,8,16,6,4,1,8,12,6,7,7,0,3,18,23,2,3,8,12,,,80,86,39,64,0,0,17,17,1,4,267,506,170,413,H
OlrgPpnb,09.04.2023 21:15,Enppi,Arab Contractors,2,1,51%,49%,9,12,6,4,3,7,11,11,4,3,0,0,26,23,3,4,12,12,1,1,91,101,31,56,0,0,,,0,1,,,,,H
EJ022Nvo,09.04.2023 21:15,Smouha,El Daklyeh,4,3,44%,56%,13,17,7,8,6,7,11,13,1,4,0,0,21,21,5,3,16,17,3,2,112,124,51,66,0,0,6,13,0,2,370,448,254,323,H
xhncO414,09.04.2023 21:15,Zamalek,National Bank Egypt,1,0,54%,46%,11,10,5,0,2,8,16,11,4,4,0,4,21,17,0,4,11,17,0,3,91,90,58,54,0,0,11,10,4,2,405,343,330,278,H
ImFW7qHN,07.04.2023 21:15,Al Masry,Haras El Hodood,1,0,57%,43%,17,17,6,5,7,11,20,21,3,3,2,1,23,27,5,5,19,22,,,137,104,62,40,0,0,11,19,4,1,489,361,393,263,H
CAEz73WT,07.04.2023 21:15,Aswan SC,Ceramica Cleopatra,1,1,37%,63%,16,11,5,5,6,3,10,12,7,5,2,0,20,27,4,4,12,11,0,1,92,148,41,52,0,0,19,12,5,3,312,547,201,423,D
K2dT8P1H,06.04.2023 21:15,Al Ittihad,Future FC,0,1,42%,58%,11,14,2,5,7,7,11,17,4,3,2,4,19,21,4,2,15,8,2,1,102,113,49,57,0,0,17,20,2,2,335,474,237,388,A
UD3GBRHb,05.04.2023 21:15,Al Ahly,Ghazl El Mahallah,3,0,67%,33%,27,6,9,1,14,5,8,10,8,4,3,2,20,21,1,6,8,9,0,2,141,90,78,28,0,0,19,14,4,0,631,302,555,222,H
xv7O95nB,05.04.2023 21:15,Arab Contractors,Pyramids,0,0,36%,64%,6,13,1,2,3,7,18,12,5,4,4,5,26,25,2,1,8,13,1,0,102,118,54,67,0,0,27,15,2,4,321,573,199,461,D
KIx65jeP,04.04.2023 21:15,Al Masry,Zamalek,3,2,50%,50%,18,9,4,2,11,5,11,12,11,2,1,3,23,17,0,1,16,12,2,1,101,111,63,48,0,0,8,24,3,2,353,359,255,250,H
