id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Crosses Completed_home,Crosses Completed_away,Interceptions_home,Interceptions_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,Red Cards_home,Red Cards_away,result
nPdGyz0E,03.11.2023 18:00,Ceramica Cleopatra,Pyramids,2,0,0.55,1.05,40%,60%,15,20,4,4,7,14,4,2,0,9,4,5,4,2,18,13,2,2,166,431,15,15,74,140,17,88,,,,,,,,,0,0,H
40iLzfFK,03.11.2023 18:00,Zamalek,ZED,1,2,1.37,0.45,66%,34%,14,16,5,4,7,8,2,4,4,4,5,0,2,4,8,13,2,3,592,183,6,20,127,74,37,36,,,,,,,,,0,0,A
8YcCxGp8,03.11.2023 15:00,Smouha,Al Ittihad,0,1,1.52,0.88,53%,47%,21,12,4,3,15,5,2,4,10,0,0,0,2,4,5,14,2,3,238,185,15,16,123,94,83,35,,,,,,,,,0,0,A
fV9UDW77,30.10.2023 18:00,National Bank Egypt,Future FC,1,2,1.13,0.81,49%,51%,10,12,3,3,6,7,1,2,3,3,2,1,1,2,18,9,0,2,313,328,19,9,112,92,55,45,,,,,,,,,0,0,A
tS5QECh1,30.10.2023 15:00,El Daklyeh,El Ismaily,0,0,,,34%,66%,10,16,2,3,5,11,3,2,2,9,0,0,3,2,13,8,6,1,132,568,24,8,64,99,31,74,,,,,,,,,0,0,D
KCHHGYNl,29.10.2023 18:00,El Gaish,Ceramica Cleopatra,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,H
lCuoZtvG,28.10.2023 19:00,Al Ittihad,Arab Contractors,3,2,,,55%,45%,18,16,5,4,10,10,3,2,4,6,2,2,2,2,15,14,2,2,298,218,14,26,95,77,51,44,,,,,,,,,0,0,H
Qy3EHE8r,28.10.2023 19:00,ZED,Smouha,1,1,,,58%,42%,23,11,8,1,15,4,0,6,9,4,2,4,0,7,12,10,2,1,411,190,14,13,111,95,87,37,,,,,,,,,0,1,D
6mjtzNO9,28.10.2023 16:00,Pharco,El Gouna,0,1,,,61%,39%,15,20,7,4,5,10,3,6,6,7,3,0,3,7,13,17,2,6,336,107,12,16,125,111,66,54,,,,,,,,,0,0,A
hpnxy393,27.10.2023 19:00,Enppi,Zamalek,2,1,,,33%,67%,18,22,5,5,9,14,4,3,4,7,0,3,4,3,11,10,2,2,142,565,9,10,84,137,46,93,,,,,,,,,0,0,H
bNnYyqfc,27.10.2023 16:00,Pyramids,Al Masry,3,2,,,55%,45%,16,9,7,4,8,1,1,4,5,4,0,2,2,4,13,10,2,1,443,302,7,11,137,74,70,34,,,,,,,,,0,0,H
KWmUxPvi,22.10.2023 18:00,El Ismaily,Pharco,0,1,,,58%,42%,15,8,3,1,12,4,0,3,7,2,3,1,0,3,14,13,2,3,424,225,18,16,80,71,64,33,,,,,,,,,0,0,A
tnImUWzi,22.10.2023 18:00,Future FC,Pyramids,0,1,,,45%,55%,6,9,0,1,5,8,1,0,0,4,5,2,1,0,8,15,1,3,334,480,20,10,126,136,37,51,,,,,,,,,0,0,A
2eJqVCLp,22.10.2023 15:00,Arab Contractors,ZED,3,3,,,42%,58%,8,16,4,5,2,10,2,1,3,4,3,1,2,1,21,11,3,4,174,354,21,15,75,90,36,59,,,,,,,,,0,0,D
YuTDzZcN,21.10.2023 18:00,Enppi,National Bank Egypt,3,1,,,50%,50%,10,9,5,7,5,2,,,6,6,,,6,2,,,1,2,,,,,81,82,48,48,,,,,,,,,0,0,H
